key,Japanese,English,Korean,ChineseSimplified,ChineseTraditional
prize_words_file,prize_words_jp,prize_words_en,prize_words_ko,prize_words_ch_s,prize_words_ch_t
game,ゲーム,Main Menu,게임,游戏,遊戲
design,デザイン,design,디자인,图案,圖案
hint,ヒント,Hint,힌트,提示,提示
back,戻す,Back,되돌리기,撤销,撤銷
scan,スキャン,Peek,스캔,扫描,掃描
current scan tab,現在の山札にあるカードの状態を表示中,Showing current stock cards,현재 뒤집지 않은 카드 상태를 표시 중,正在显示在当前的牌堆上的牌的状态,正在顯示在當前的牌堆上的牌的狀態
next scan tab,次の回での山札にあるカードの状態を表示中,Showing next set of stock cards,다음 차례의 뒤집지않은 카드 상태를 표시 중,正在显示在下一次的牌堆上的牌的状态,正在顯示在下一次的牌堆上的牌的狀態
games won,クリア回数,Wins,클리어 횟수,完成次数,完成次數
flip one,一枚めくり,Draw one,한 장 뒤집기,翻一张,翻一張	
flip three,三枚めくり,Draw three,세 장 뒤집기,翻三张,翻三張
best time,最速クリアタイム,Best time,최고 클리어 타임,最快完成用时,最快完成用時	
best moves,最少移動回数,Fewest moves,최소 이동 횟수,最少移动次数,最少移動次數	
best score,ベストスコア,Best score,최고 점수,最佳得分,最佳得分
best total score,ベストトータルスコア,Best total score,최고 종합 점수,最佳总得分,最佳總得分
game played,プレイ回数,Games played,플레이 횟수,游戏次数,遊戲次數
percantage of won,勝率,Percent won,승률,胜率,勝率		
total games played,総プレイ回数,Total games,총 플레이 횟수,总游戏次数,總遊戲次數	
total played time,総プレイ時間,Total play time,총 플레이 시간,总游戏时间,總遊戲時間
free scan,無料スキャン,Free Peek!,무료로 스캔!,免费扫描！,免費掃描！		
remove ads,広告非表示,Remove ads,광고 없애기,去除广告,去除廣告
cost no ads,¥240,$1.99,$2.19,¥14.00,NT$ 70
cost10,¥120,$0.99,$1.09,¥6.00,NT$ 30
cost24,¥240,$1.99,$2.19,¥12.00,NT$ 60
cost80,¥600,$4.99,$5.49,¥30.00,NT$ 150
cost200,¥1.200,$9.99,$10.99,¥68.00,NT$ 300
use scan,スキャンを使用しますか？,Enable peeking?,스캔을 사용할까요?,是否要使用扫描？,是否要使用掃描？			
left scan,残り, ,남은 횟수,还剩,還剩	
times,回,game left,회,次,次
see store,ストアを見ますか？,Go to store?,앱스토어를 볼까요?,是否要打开商店？,是否要打開商店？		
no scan,スキャン使用回数が足りません。,You have no more peeks,스캔 사용 횟수가 부족합니다,扫描使用次数不足,掃描使用次數不足			
